0.1	24	11	34	95
0.2	27	11	39	14
0.3	25	10	31	98
0.4	26	11	38	98
0.5	28	12	35	53
0.6	22	11	32	97
0.7	23	11	36	62
0.8	27	12	31	66
0.9	26	10	30	56
1.0	23	12	35	97
1.1	25	10	30	86
1.2	20	10	38	68
1.3	26	13	31	57
1.4	20	12	33	53
1.5	22	11	36	47
1.6	24	14	36	55
1.7	29	11	36	31
1.8	24	14	30	88
1.9	25	14	39	36
2.0	29	11	32	75
2.1	29	13	37	44
2.2	24	10	34	79
2.3	27	12	34	50
2.4	28	11	33	77
2.5	22	13	34	41
2.6	27	14	30	13
2.7	22	11	30	15
2.8	22	11	32	14
2.9	21	11	32	73
3.0	22	13	33	84
3.1	21	10	34	33
3.2	27	13	38	14
3.3	21	14	39	56
3.4	20	14	39	63
3.5	28	11	38	56
3.6	28	13	39	19
3.7	25	14	38	99
3.8	28	14	34	97
3.9	25	10	38	33
4.0	28	14	39	90
4.1	27	13	31	11
4.2	25	14	37	75
4.3	28	10	31	29
4.4	20	14	31	68
4.5	21	10	37	66
4.6	29	13	37	10
4.7	26	12	36	92
4.8	23	12	38	85
4.9	22	14	30	39
5.0	21	12	34	28
5.1	21	14	38	42
5.2	25	10	37	84
5.3	24	10	31	79
5.4	28	10	31	92
5.5	20	10	39	45
5.6	22	12	31	29
5.7	29	11	30	50
5.8	28	12	38	87
5.9	21	11	38	25
6.0	28	13	37	20
6.1	29	10	38	73
6.2	26	14	39	38
6.3	27	12	39	73
6.4	24	14	33	24
6.5	20	11	33	65
6.6	29	14	33	50
6.7	28	11	33	59
6.8	20	11	30	53
6.9	28	12	35	38
7.0	20	14	33	92
7.1	22	13	36	92
7.2	26	14	32	72
7.3	28	13	36	59
7.4	27	10	36	43
7.5	20	10	36	58
7.6	29	13	34	95
7.7	20	14	39	51
7.8	27	13	36	63
7.9	21	12	30	76
8.0	23	14	33	31
8.1	25	13	30	55
8.2	29	11	30	92
8.3	25	12	34	70
8.4	26	13	31	31
8.5	22	12	31	44
8.6	21	10	37	51
8.7	23	13	35	97
8.8	27	13	31	44
8.9	22	10	30	95
9.0	27	12	37	24
9.1	26	11	34	64
9.2	22	10	39	52
9.3	28	11	31	51
9.4	29	13	30	75
9.5	21	10	34	97
9.6	28	10	37	88
9.7	26	11	38	60
9.8	25	11	37	67
9.9	27	13	36	36
10.0	26	12	37	36
